Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/GameNWatch/Manuals/Crab Grab.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FCrab%20Grab.pdf,676173,4b52694bcaa4460cac54cfbff9d8c315,,,Crab Grab.pdf
docs/GameNWatch/Manuals/Donkey Kong .pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FDonkey%20Kong%20.pdf,910366,3be2071666bc878ccb0718fecb768f2a,,,Donkey Kong .pdf
docs/GameNWatch/Manuals/Donkey Kong II.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FDonkey%20Kong%20II.pdf,884664,3733fe4caf4f4d16bea1d2c0e98416bc,,,Donkey Kong II.pdf
docs/GameNWatch/Manuals/Donkey Kong Jr..pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FDonkey%20Kong%20Jr..pdf,574262,9090324d494358dccbcd7abac8e4cb55,,,Donkey Kong Jr..pdf
docs/GameNWatch/Manuals/Fire Attack.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FFire%20Attack.pdf,280667,c92620de9a567a31ad14f621f0ddde38,,,Fire Attack.pdf
docs/GameNWatch/Manuals/Green House.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FGreen%20House.pdf,768505,7f5fece2cc1a4a94091c32666476fa5c,,,Green House.pdf
docs/GameNWatch/Manuals/Lifeboat.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FLifeboat.pdf,948120,4d5fd949dec48e37f61f16253ee91942,,,Lifeboat.pdf
docs/GameNWatch/Manuals/Manhole.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FManhole.pdf,622955,7de554be9b24cd91b86396c4c09c9df8,,,Manhole.pdf
docs/GameNWatch/Manuals/Mario Bros..pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FMario%20Bros..pdf,1008833,d3b8892f163ef5f9276bf034cab51119,,,Mario Bros..pdf
docs/GameNWatch/Manuals/Mario_s Cement Factory.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FMario_s%20Cement%20Factory.pdf,572693,7531c33e8928110532b69119ceec3de8,,,Mario_s Cement Factory.pdf
docs/GameNWatch/Manuals/Mickey & Donald.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FMickey%20%26%20Donald.pdf,787522,db7dee47b913571f08ea2235e7af39af,,,Mickey & Donald.pdf
docs/GameNWatch/Manuals/Oil Panic.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FOil%20Panic.pdf,797307,e353646c96f339781cf61d22b9f4c8ea,,,Oil Panic.pdf
docs/GameNWatch/Manuals/Rain Shower.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FRain%20Shower.pdf,970933,5206fb03973dc85870a8672c30d0cf7a,,,Rain Shower.pdf
docs/GameNWatch/Manuals/Snoopy Tennis.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FSnoopy%20Tennis.pdf,361873,34bd3a3af01d5b9c145b1d3a1e0d43b8,,,Snoopy Tennis.pdf
docs/GameNWatch/Manuals/Spitball Sparky.pdf,https://archive.org/download/mister-manuals/1980_Nintendo%20Game%20%26%20Watch.zip/1980_Nintendo%20Game%20%26%20Watch%2FSpitball%20Sparky.pdf,585594,1bd99d40d45676dd28069e23c2c16374,,,Spitball Sparky.pdf
